id,title,publishedAt,categoryId,viewCount,likeCount,dislikeCount
X9uFEtL0vHk,黃齡《繁華夢》【電視劇扶搖插曲】官方動態歌詞MV (Legend Of Fu Yao | Phù Dao OST) (Flourished Dream | Mộng Phồn Hoa),2018-06-19,10,1301693,4166,156
RY4t_K82pSE,張碧晨 Diamond Zhang - 聽雪（官方歌詞版）- 電視劇《烈火如歌》如歌情感主題曲,2018-03-09,10,3485067,8543,333
WxX72JVuTnY,张碧晨 -- 年轮（花千骨插曲）,2017-04-30,10,230016,1513,61
jbtU1rWNbmc,畢書盡 Bii - 逆時光的浪 Back In Time (官方版MV) -  台視、三立、東森偶像劇「愛上哥們」前導篇「逆光」主題曲,2015-09-24,10,32683048,87234,2100
IZXK7xSigMc,阿蘭【千古】（電視劇『花千骨』主題曲）官方完整版 MV,2015-08-10,10,11130005,23729,936
LfVZepA1khg,여우비 - SE O(Jellycookie) [SBS 드라마 닥터스 OST Part.4] [Official Audio],2016-07-21,10,1582815,6629,95
DuPkqQ0gv8E,Talk Love (¸»ÇØ! ¹¹ÇØ?),2016-10-20,10,119637,1039,150
ldstcMH4YLE,Drive (feat. Gray),2017-03-20,10,473988,3466,412
rxEOew0g238,Wait,2018-10-30,10,78099,1224,111
1rP7ziPDDt0,Way Back Home,2018-06-26,10,3632921,22373,4924
ULFXeCsiXUQ,Girls Like You,2018-10-30,10,480606,8204,1340
g-QS-3L5UTs,差不多先生,2015-06-23,10,30460,276,46
xn51kL2QKr8,👿 满舒克 - 🐱做我的猫🐱 (OFFICIAL MV),2017-11-22,10,589931,4125,231
JNoiHbQgg38,GAI - 火鍋底料（官方歌詞版）,2017-07-31,10,688607,3501,199
mHrsWl6-FsQ,倒數,2018-08-03,10,195284,1459,583
