id,title,publishedAt,categoryId,viewCount,likeCount,dislikeCount
kQ6-3TIVlwI,"A Kind of Sorrow (The movie theme song of ""More than Blue"")",2018-10-10,10,86067,521,178
BU00j1J4x-c,Zai Qing Chun Mi Shi De Ka Fei Guan,2018-11-20,10,8394,90,17
JiKBjl80fXQ,只有你,2017-07-10,10,670,7,1
sXgbsw_vCfY,新不了情,2015-06-23,10,21133,168,55
HIVRs6jiajo,不要對他說,2017-07-10,10,3491,43,2
oKxJaCwDx8Y,忘情忘愛,2017-07-10,10,1334,9,3
OTVKqu3z6I8,Yi Qian Ge Shang Xin De Li You,2018-07-31,10,3940,39,7
gXIdIJrWN-E,寬容,2017-07-10,10,4812,46,5
fEWPlUCdWkg,可惜不是你,2015-06-23,10,50729,393,69
7gWg6vW7s-E,後來,2015-06-23,10,69465,545,144
buz76-1RNS8,愛你沒錯,2017-07-10,10,1520,15,6
roIxF6BIuic,Ai Ru Chao Shui,2017-02-26,10,1506,29,0
7VMN9pPtDj4,把你藏起來,2015-06-23,10,1341,13,8
2C-zNQq7zRQ,Eastside (Acoustic),2018-08-03,10,9495147,103456,35581
539Ot6jBu0k,Tian Di,2018-11-01,10,28749,893,69
oadfmOPGjOY,Don't Matter,2018-07-31,10,54724,1116,41
2MJCNXttzNs,Too Good At Goodbyes,2018-06-05,10,1549240,18031,5590
El2KPBO-_uk,Nice For What,2018-07-26,10,5677178,71349,21502
vkGp69seHcc,Bodak Yellow,2018-04-06,10,6181137,97627,33261
owTWCbq_nSk,Something Just Like This,2017-03-04,10,13461812,181379,43523
ej4LHPL2t2Y,Marvins Room,2018-07-26,10,80672,1062,24
cH0SDpPgbPc,"Gen Neo 梁根荣,  Fei 霏 - 你 會不會（官方MV）",2018-09-16,10,442308,7815,40
1_2uhaug3BQ,Beautiful,2018-07-31,10,134896,1982,195
TfdFUMxRzqU,Roses,2017-02-19,10,1013161,15694,3887
sfQGCIcpfdU,Girls Like You,2018-06-14,10,10990320,135344,63115
pCtK6FPZtZk,Stay,2018-07-23,10,70908,996,134
kVaItl3n5Iw,TOOTIMETOOTIMETOOTIME,2018-08-08,10,214433,2582,765
X9uFEtL0vHk,黃齡《繁華夢》【電視劇扶搖插曲】官方動態歌詞MV (Legend Of Fu Yao | Phù Dao OST) (Flourished Dream | Mộng Phồn Hoa),2018-06-19,10,1301693,4166,156
xLJu2NFgHR0,黃齡《釵頭鳳》【電視劇醫妃難囚片頭曲 Princess at Large OST】官方高畫質 Official HD MV,2018-10-29,10,130453,826,25
4zGX2NAqTVE,Narcissist,2018-08-09,10,206182,2952,520
77jG9qWmPD8,Good Girls,2018-07-26,10,16970,174,18
O78Lpo4ctSE,LANY - Super Far (Official Video),2017-09-12,10,43639977,168570,4177
V18DUQwrDz0,Thick And Thin,2018-10-04,10,81568,1013,106
WMF4kot2qGA,Malibu Nights,2018-10-04,10,214460,2874,370
dJvjtyt7Ygk,Be Alright,2018-08-31,10,341869,5899,562
N2rkKSxX7FI,Thru These Tears,2018-10-04,10,175682,1604,635
Yv0x3kdWbTg,Love Lies,2018-02-15,10,17084481,180849,24733
rYPQtWOcGmQ,The Middle,2018-07-26,10,639998,9929,2257
lrviWgYgwH0,Rise,2018-11-08,10,2745528,35017,10923
qoeBS1yGg1Q,Expectations,2018-08-02,10,85300,759,397
scS64l3wvew,Midsummer Madness,2018-07-19,10,1244757,16476,1997
Eww37rpEyfs,Gen Neo 梁根荣 - 后退 （官方MV）,2017-08-17,10,440243,6085,40
